,id,location_name,lat,lon,max_speed,min_speed,average_speed
140,165,"Brooklyn , Midwood",40.6188823,-73.9654889,56.0,20.0,37.926829268292686
141,166,"Manhattan , Morningside Heights",40.81,-73.9625,81.0,18.0,35.94055297460647
142,167,"Bronx , Morrisania/Melrose",40.8256703,-73.9152416,81.0,18.0,35.88650144227939
143,168,"Bronx , Mott Haven/Port Morris",40.8034452,-73.917871,81.0,18.0,35.913426194621785
144,169,"Bronx , Mount Hope",40.8525714,-73.90534040085426,81.0,18.0,35.995109455053566
145,170,"Manhattan , Murray Hill",40.7481574,-73.97875,81.0,18.0,35.57194040284878
146,171,"Queens , Murray Hill-Queens",40.7430865,-73.9611197,81.0,18.0,35.562997843594594
147,174,"Bronx , Norwood",40.8772593,-73.8768626,81.0,18.0,37.49993605320373
148,175,"Queens , Oakland Gardens",40.753991,-73.765966,35.0,35.0,35.0
149,176,"Staten Island , Oakwood",40.563994,-74.1159754,35.0,35.0,35.0
150,177,"Brooklyn , Ocean Hill",40.6757317,-73.9124338,81.0,18.0,36.33476775091761
151,178,"Brooklyn , Ocean Parkway South",40.5854595,-73.96487147170009,35.0,35.0,35.0
152,180,"Queens , Ozone Park",40.67677,-73.8437461,35.0,35.0,35.0
153,181,"Brooklyn , Park Slope",40.6701033,-73.9859723,81.0,18.0,36.14599027367217
154,182,"Bronx , Parkchester",40.8332047,-73.8609723,81.0,18.0,35.6949965729952
155,183,"Bronx , Pelham Bay",40.8662112,-73.7895774,50.0,20.0,37.244897959183675
156,184,"Bronx , Pelham Bay Park",40.852548,-73.827938,81.0,18.0,38.20265407107512
157,185,"Bronx , Pelham Parkway",40.857229,-73.8676281,81.0,18.0,36.00276707184504
158,187,"Staten Island , Port Richmond",40.6331592,-74.1365318,35.0,35.0,35.0
159,188,"Brooklyn , Prospect-Lefferts Gardens",40.68035905,-73.957633,81.0,18.0,36.15680425669139
160,189,"Brooklyn , Prospect Heights",40.6778708,-73.9684725,81.0,18.0,36.235474006116206
161,190,"Brooklyn , Prospect Park",40.661774300000005,-73.97108902901994,81.0,18.0,36.3521421107628
162,191,"Queens , Queens Village",40.7175718,-73.7359328,35.0,35.0,35.0
163,192,"Queens , Queensboro Hill",40.742901950000004,-73.82517691472333,64.0,20.0,24.09582689335394
164,193,"Queens , Queensbridge/Ravenswood",40.758403,-73.93916185149254,81.0,18.0,35.83420549879558
165,194,"Manhattan , Randalls Island",40.793938999999995,-73.91761017748043,81.0,18.0,35.93722401784495
166,195,"Brooklyn , Red Hook",40.6751032,-74.0095841,81.0,18.0,36.13875333763005
167,196,"Queens , Rego Park",40.72286495,-73.86210223976741,81.0,18.0,34.23048048048048
168,197,"Queens , Richmond Hill",40.6994253,-73.8309672,35.0,35.0,35.0
169,198,"Queens , Ridgewood",40.7080556,-73.9141667,81.0,18.0,35.12317264709436
170,199,"Bronx , Rikers Island",40.79193175,-73.88349371727949,81.0,18.0,36.02121160699134
171,201,"Queens , Rockaway Park",40.5805104,-73.8361535,35.0,35.0,35.0
172,202,"Manhattan , Roosevelt Island",40.76133675,-73.95028526170718,81.0,18.0,36.063422368581534
173,203,"Queens , Rosedale",40.6620479,-73.7354097,35.0,35.0,35.0
174,204,"Staten Island , Rossville/Woodrow",40.542642799999996,-74.20698511828994,35.0,35.0,35.0
175,205,"Queens , Saint Albans",40.6984364,-73.7606881,35.0,35.0,35.0
176,206,"Staten Island , Saint George/New Brighton",40.64178665,-74.07841152113366,64.0,18.0,36.120310478654595
177,208,"Bronx , Schuylerville/Edgewater Park",40.821982,-73.8187004,81.0,18.0,34.622744199369805
178,209,"Manhattan , Seaport",40.7057505,-74.0029056,81.0,18.0,36.06190414000261
179,210,"Brooklyn , Sheepshead Bay",40.5912161,-73.9445822,35.0,35.0,35.0
180,211,"Manhattan , SoHo",40.72288,-73.9987505,81.0,18.0,35.442915642915644
181,215,"Queens , South Jamaica",40.69567495,-73.79420266473011,35.0,35.0,35.0
182,216,"Queens , South Ozone Park",40.6701035,-73.8190231,35.0,35.0,35.0
183,217,"Brooklyn , South Williamsburg",33.775115,-79.59923,35.0,35.0,35.0
184,219,"Queens , Springfield Gardens South",40.683938,-73.7379765,35.0,35.0,35.0
185,220,"Bronx , Spuyten Duyvil/Kingsbridge",40.8806984,-73.9077054123841,81.0,18.0,37.071135578583764
186,221,"Staten Island , Stapleton",40.6279568,-74.0751652,56.0,20.0,37.593939393939394
187,222,"Brooklyn , Starrett City",40.6478541,-73.87951545688418,35.0,35.0,35.0
188,223,"Queens , Steinway",40.7745459,-73.9037477,81.0,18.0,35.99757259732087
189,225,"Brooklyn , Stuyvesant Heights",40.67439655,-73.94404613465176,81.0,18.0,36.52402768301004
190,226,"Queens , Sunnyside",40.7398242,-73.9354153,81.0,18.0,35.55828357543891
191,227,"Brooklyn , Sunset Park East",40.6364667,-74.0083234,64.0,18.0,36.34654318328667
192,228,"Brooklyn , Sunset Park West",40.6474105,-73.9959794,64.0,18.0,35.926968019680196
193,232,"Manhattan , Two Bridges/Seward Park",40.714497800000004,-73.98854356054915,81.0,18.0,35.49664660361135
194,234,"Manhattan , Union Sq",40.7360717,-73.9901888,81.0,18.0,35.48821250175062
195,235,"Bronx , University Heights/Morris Heights",40.8540951,-73.9198195,81.0,18.0,35.971445701866145
196,236,"Manhattan , Upper East Side North",40.768631299999996,-73.96473710434782,81.0,18.0,36.06088004822182
197,237,"Manhattan , Upper East Side South",40.77946795,-73.9582649374,81.0,18.0,36.05282019320661
198,238,"Manhattan , Upper West Side North",40.7797929,-73.9819947,81.0,18.0,36.06719273075084
199,239,"Manhattan , Upper West Side South",40.7772311,-73.99005935788361,81.0,18.0,36.06088108911289
200,240,"Bronx , Van Cortlandt Park",40.8970755,-73.8865797057321,81.0,18.0,38.06336788578134
201,242,"Bronx , Van Nest/Morris Park",40.8539384,-73.8611454,81.0,18.0,35.97572324499292
202,243,"Manhattan , Washington Heights North",40.840346800000006,-73.9407446392122,81.0,18.0,35.84790734726393
203,245,"Staten Island , West Brighton",40.6345481,-74.1120867,35.0,35.0,35.0
204,246,"Manhattan , West Chelsea/Hudson Yards",40.75391085,-74.00053573096068,81.0,18.0,35.57547004041469
205,247,"Bronx , West Concourse",40.8263962,-73.9211598,81.0,18.0,35.98599455658879
206,248,"Bronx , West Farms/Bronx River",40.8375001,-73.8734632,81.0,18.0,35.83535402521824
207,249,"Manhattan , West Village",40.7341857,-74.00558,81.0,18.0,35.42299295425226
