,s,t,d,s
261,4,55,16.634817185234372,26.5
262,4,56,10.352558539123892,18.0
263,4,57,10.352558539123892,18.0
264,4,58,18.4941521445815,18.0
265,4,59,14.620480649939697,18.0
266,4,60,14.40491857854932,18.0
267,4,61,6.817935233962826,18.0
268,4,62,6.860512175713078,18.0
269,4,63,9.825639709501495,19.0
270,4,64,20.178039228826034,26.5
271,4,65,3.6998093657077473,18.0
272,4,66,2.634877559148455,18.0
273,4,67,11.944883299432888,19.0
274,4,68,2.463366926686196,18.0
275,4,69,12.11788196928546,18.0
276,4,70,10.44440665054242,18.0
277,4,73,16.84258497758225,26.5
278,4,74,9.253433433172193,18.0
279,4,75,9.42616180388118,18.0
280,4,76,10.452553649350103,19.0
281,4,77,9.814082952810065,19.0
282,4,78,15.314275462866997,18.0
283,4,79,0.8026398782235838,18.0
284,4,80,1.7955570993987204,18.0
285,4,81,22.185649598007686,19.0
286,4,82,8.621440513636275,18.0
287,4,85,8.633893480720966,18.0
288,4,86,23.14315705842479,26.5
289,4,87,3.1768860682262363,18.0
290,4,88,3.843038870730455,18.0
291,4,89,9.618278007379336,18.0
292,4,90,1.9663503020843962,18.0
293,4,91,12.151841469576688,26.5
294,4,92,14.377604308246337,19.0
295,4,94,17.234086308718695,18.0
296,4,95,11.370358213603652,19.0
297,4,97,3.8255822755373194,18.0
298,4,98,15.719904935355068,26.5
299,4,99,23.430956994274418,26.5
300,4,100,3.3100298866550846,18.0
301,4,101,22.717104196806957,26.5
302,4,102,8.248840257377623,18.0
303,4,106,5.162547518712557,18.0
304,4,107,1.2186677034266988,18.0
305,4,108,14.348522615116906,26.5
306,4,109,24.146127970228907,26.5
307,4,110,23.24376802455205,26.5
308,4,111,8.163748237535781,18.0
309,4,112,2.4160592741560327,18.0
310,4,113,1.68905753571627,18.0
311,4,114,1.5915833185859134,18.0
312,4,116,11.290142809789511,18.0
313,4,117,20.908149931119983,26.5
314,4,119,13.085816322107146,18.0
315,4,120,14.071617133482272,18.0
316,4,122,17.956142348888804,26.5
317,4,123,15.568647173371982,26.5
318,4,124,14.209730432872787,26.5
319,4,125,2.400671870823129,18.0
320,4,126,12.626187330099246,18.0
321,4,127,16.783352718084117,18.0
322,4,128,16.98779364226546,18.0
323,4,129,8.602569644748232,18.0
324,4,130,15.282109257806566,26.5
325,4,131,16.65990552561649,26.5
326,4,132,19.195011684520992,26.5
327,4,133,8.803832301516298,18.0
328,4,134,12.658045971349857,26.5
329,4,135,12.41167428309329,26.5
330,4,136,17.629763280721757,18.0
331,4,137,1.6198666976352103,18.0
332,4,138,10.57032077663531,18.0
333,4,139,20.29154592150655,26.5
334,4,140,4.815330727322686,18.0
335,4,141,4.898851778648685,18.0
336,4,143,5.417535312510892,18.0
337,4,144,1.35307189316357,18.0
338,4,145,3.277372445675504,18.0
